Data Number,Source Video Title
1.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-008.mp4
2.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-003.mp4
3.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-012.mp4
4.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-004.mp4
5.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-006.mp4
6.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-010.mp4
7.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-007.mp4
8.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-009.mp4
9.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-002.mp4
10.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-013.mp4
11.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-001.mp4
12.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-011.mp4
13.mp4,第一套国际武术竞赛套路刀术（完整版）国一刀术-Scene-005.mp4
14.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-006.mp4
15.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-017.mp4
16.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-026.mp4
17.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-010.mp4
18.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-002.mp4
19.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-018.mp4
20.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-020.mp4
21.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-003.mp4
22.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-029.mp4
23.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-001.mp4
24.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-009.mp4
25.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-016.mp4
26.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-011.mp4
27.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-012.mp4
28.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-024.mp4
29.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-014.mp4
30.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-028.mp4
31.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-027.mp4
32.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-007.mp4
33.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-004.mp4
34.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-019.mp4
35.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-021.mp4
36.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-030.mp4
37.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-008.mp4
38.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-013.mp4
39.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-022.mp4
40.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-005.mp4
41.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-023.mp4
42.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-025.mp4
43.mp4,2022年广西第十五届区运会武术套路比赛-女子乙组三项全能第三名-黄芳菲-Scene-015.mp4
44.mp4,旋风腿教学01.mp4
45.mp4,旋风腿03.mp4
46.mp4,旋风腿02.mp4
47.mp4,云剑-Scene-001.mp4
48.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-009.mp4
49.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-016.mp4
50.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-004.mp4
51.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-018.mp4
52.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-014.mp4
53.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-007.mp4
54.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-015.mp4
55.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-017.mp4
56.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-003.mp4
57.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-019.mp4
58.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-005.mp4
59.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-013.mp4
60.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-001.mp4
61.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-011.mp4
62.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-010.mp4
63.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-002.mp4
64.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-012.mp4
65.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-008.mp4
66.mp4,膝关节内侧半月板后角三级损伤，无手术康复锻炼一周年。-Scene-006.mp4
67.mp4,初级剑-Scene-003.mp4
68.mp4,初级剑-Scene-001.mp4
69.mp4,初级剑-Scene-009.mp4
70.mp4,初级剑-Scene-004.mp4
71.mp4,初级剑-Scene-008.mp4
72.mp4,初级剑-Scene-010.mp4
73.mp4,初级剑-Scene-006.mp4
74.mp4,初级剑-Scene-002.mp4
75.mp4,初级剑-Scene-007.mp4
76.mp4,初级剑-Scene-005.mp4
77.mp4,初级剑-Scene-011.mp4
78.mp4,南拳类指定难度：腾空外摆腿720°+马步、旋风脚720°+马步、旋风脚540°+单碟步、腾空外摆腿540°+马步。-Scene-001.mp4
79.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-006.mp4
80.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-001.mp4
81.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-004.mp4
82.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-003.mp4
83.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-009.mp4
84.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-007.mp4
85.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-005.mp4
86.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-008.mp4
87.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-002.mp4
88.mp4,第一套国际武术竞赛套路-南刀-完整版-国一南刀#桂平市竞技武术训练馆 #桂平市竞技武术队-Scene-010.mp4
89.mp4,初级棍术-Scene-015.mp4
90.mp4,初级棍术-Scene-014.mp4
91.mp4,初级棍术-Scene-023.mp4
92.mp4,初级棍术-Scene-012.mp4
93.mp4,初级棍术-Scene-013.mp4
94.mp4,初级棍术-Scene-016.mp4
95.mp4,初级棍术-Scene-020.mp4
96.mp4,初级棍术-Scene-010.mp4
97.mp4,初级棍术-Scene-018.mp4
98.mp4,初级棍术-Scene-009.mp4
99.mp4,初级棍术-Scene-007.mp4
100.mp4,初级棍术-Scene-002.mp4
101.mp4,初级棍术-Scene-019.mp4
102.mp4,初级棍术-Scene-025.mp4
103.mp4,初级棍术-Scene-004.mp4
104.mp4,初级棍术-Scene-003.mp4
105.mp4,初级棍术-Scene-021.mp4
106.mp4,初级棍术-Scene-022.mp4
107.mp4,初级棍术-Scene-017.mp4
108.mp4,初级棍术-Scene-001.mp4
109.mp4,初级棍术-Scene-006.mp4
110.mp4,初级棍术-Scene-008.mp4
111.mp4,初级棍术-Scene-024.mp4
112.mp4,初级棍术-Scene-011.mp4
113.mp4,初级棍术-Scene-005.mp4
114.mp4,备战广西第十五届区运会-Scene-056.mp4
115.mp4,备战广西第十五届区运会-Scene-037.mp4
116.mp4,备战广西第十五届区运会-Scene-024.mp4
117.mp4,备战广西第十五届区运会-Scene-047.mp4
118.mp4,备战广西第十五届区运会-Scene-030.mp4
119.mp4,备战广西第十五届区运会-Scene-019.mp4
120.mp4,备战广西第十五届区运会-Scene-046.mp4
121.mp4,备战广西第十五届区运会-Scene-011.mp4
122.mp4,备战广西第十五届区运会-Scene-052.mp4
123.mp4,备战广西第十五届区运会-Scene-043.mp4
124.mp4,备战广西第十五届区运会-Scene-028.mp4
125.mp4,备战广西第十五届区运会-Scene-013.mp4
126.mp4,备战广西第十五届区运会-Scene-045.mp4
127.mp4,备战广西第十五届区运会-Scene-069.mp4
128.mp4,备战广西第十五届区运会-Scene-064.mp4
129.mp4,备战广西第十五届区运会-Scene-073.mp4
130.mp4,备战广西第十五届区运会-Scene-023.mp4
131.mp4,备战广西第十五届区运会-Scene-032.mp4
132.mp4,备战广西第十五届区运会-Scene-008.mp4
133.mp4,备战广西第十五届区运会-Scene-059.mp4
134.mp4,备战广西第十五届区运会-Scene-005.mp4
135.mp4,备战广西第十五届区运会-Scene-050.mp4
136.mp4,备战广西第十五届区运会-Scene-070.mp4
137.mp4,备战广西第十五届区运会-Scene-067.mp4
138.mp4,备战广西第十五届区运会-Scene-054.mp4
139.mp4,备战广西第十五届区运会-Scene-058.mp4
140.mp4,备战广西第十五届区运会-Scene-068.mp4
141.mp4,备战广西第十五届区运会-Scene-041.mp4
142.mp4,备战广西第十五届区运会-Scene-039.mp4
143.mp4,备战广西第十五届区运会-Scene-066.mp4
144.mp4,备战广西第十五届区运会-Scene-004.mp4
145.mp4,备战广西第十五届区运会-Scene-018.mp4
146.mp4,备战广西第十五届区运会-Scene-003.mp4
147.mp4,备战广西第十五届区运会-Scene-038.mp4
148.mp4,备战广西第十五届区运会-Scene-040.mp4
149.mp4,备战广西第十五届区运会-Scene-010.mp4
150.mp4,备战广西第十五届区运会-Scene-044.mp4
151.mp4,备战广西第十五届区运会-Scene-026.mp4
152.mp4,备战广西第十五届区运会-Scene-035.mp4
153.mp4,备战广西第十五届区运会-Scene-055.mp4
154.mp4,备战广西第十五届区运会-Scene-027.mp4
155.mp4,备战广西第十五届区运会-Scene-029.mp4
156.mp4,备战广西第十五届区运会-Scene-021.mp4
